Santhali_word,English_words,Grammer,Audio_links
həɽiəɽ,green,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Col4_F_green.mp3
həsliʤəŋ,Shoulderblade,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_JNH_Shoulder_blade-1.mp3
hətaŋ,Brain,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_JNH_Brain.mp3
hətla,Armpit,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_JNH_Armpit.mp3
hɛ̃,yes,adverb,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adv12_F_yes.mp3
hɛ̃ hui dɑɽeɑʔɑ,possibly,adverb,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adv18_F_possibly.mp3
hɛɽɑʔ ~ heɽɑʔ,brown,adjective,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Col3_M_brown.mp3
holɑ,yesterday,adverb,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_Adv3_F_yesterday.mp3
hoɲɑrin hɑɽɑm ~ hoɲhɑrin hɑɽɑm,father-in-law,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU30_M_fatherinlaw.mp3
hopon,son,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU2_F_son_2.mp3
hopon erɑ,daughter,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU1_M_daughter.mp3
horo,turtle,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AN47_F_turtle.mp3
hotete,by,adposition,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_AdP12_M_by_2.mp3
hoʈok’,neck,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_BP12_J_neck.mp3
hɔɽ,man,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU21_F_man.mp3
hɔɽ ko,people,noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_HU25_M_people.mp3
hɔʈɔ,Neck,Noun,http://talkingdictionary.swarthmore.edu/media/santali/aud/Santali_09_29_2011_R_GRM_Neck.mp3
